Isolate_Id	Isolate_Name	Subtype	Host	Country	Region	Collection_Date	Segments_in_metadata	n_segs_sequenced	Missing_metadata_segs	Missing_sequence_segs	Short_sequence_segs
EPI_ISL_20264911	A/Madagascar/03958/2025	A / H3N2	Human	Madagascar	Analamanga	2025-11-18	7	7	PA	PA	
EPI_ISL_20264906	A/Madagascar/03889/2025	A / H3N2	Human	Madagascar	Analamanga	2025-11-13	7	7	PA	PA	
EPI_ISL_19382046	A/Itasy/01824/2024	A / H1N1	Human	Madagascar		2024-06-17	7	7	PB1	PB1	
EPI_ISL_19382029	A/Antsirabe/01918/2024	A / H1N1	Human	Madagascar		2024-06-19	7	7	PA	PA	
EPI_ISL_19382023	A/Antsirabe/01583/2024	A / H3N2	Human	Madagascar		2024-05-24	7	7	PB1	PB1	
EPI_ISL_19085957	A/Antananarivo/02545/2023	A / H1N1	Human	Madagascar		2023-06-10	7	7	PB1	PB1	
EPI_ISL_19085869	A/Toliary/03152/2023	A / H3N2	Human	Madagascar		2023-11-30	7	7	PB1	PB1	
EPI_ISL_277142	A/Antananarivo/1067/2016	A / H3N2	Human	Madagascar		2016-04-05	7	7	NP	NP	
EPI_ISL_19907482	A/Madagascar/01473/2025	A / H3N2	Human	Madagascar	Analamanga	2025-04-19	7	7	NS	NS	
EPI_ISL_19907480	A/Madagascar/02097/2025	A / H1N1	Human	Madagascar	Haute Matsiatra	2025-05-29	7	7	PB1	PB1	
EPI_ISL_19907477	A/Madagascar/02012/2025	A / H1N1	Human	Madagascar	Diana	2025-05-20	7	7	PB1	PB1	
EPI_ISL_19907472	A/Madagascar/01484/2025	A / H1N1	Human	Madagascar	Analamanga	2025-04-23	7	7	PB1	PB1	
EPI_ISL_2932721	A/Toamasina/00357/2020	A / H1N1	Human	Madagascar		2020-01-29	7	7	PB1	PB1	
EPI_ISL_2932720	A/Toamasina/00293/2020	A / H1N1	Human	Madagascar		2020-01-21	7	7	PB1	PB1	
EPI_ISL_2932716	A/Mahajanga/00563/2020	A / H1N1	Human	Madagascar		2020-02-05	7	7	PB1	PB1	
EPI_ISL_18303950	A/Madagascar/1616/2023	A / H1N1	Human	Madagascar		2023-05-24	7	7	PA	PA	
EPI_ISL_18303945	A/Madagascar/807/2023	A / H1N1	Human	Madagascar		2023-03-20	7	7	PA	PA	
EPI_ISL_18271084	A/Fianarantsoa/01808/2023	A / H1N1	Human	Madagascar		2023-06-14	7	7	PB1	PB1	
EPI_ISL_18271079	A/Fianarantsoa/01853/2023	A / H1N1	Human	Madagascar		2023-06-21	7	7	PB1	PB1	
EPI_ISL_20337086	A/Madagascar/04514/2025	A / H3N2	Human	Madagascar		2025-12-27	7	7	PB2	PB2	
EPI_ISL_20337084	A/Madagascar/04503/2025	A / H3N2	Human	Madagascar		2025-12-24	7	7	PB1	PB1	
EPI_ISL_20337081	A/Madagascar/04478/2025	A / H3N2	Human	Madagascar		2025-12-29	7	7	PB1	PB1	
EPI_ISL_20337079	A/Madagascar/04449/2025	A / H3N2	Human	Madagascar		2025-12-23	7	7	PB2	PB2	
EPI_ISL_20337076	A/Madagascar/04375/2025	A / H3N2	Human	Madagascar		2025-12-17	7	7	PB1	PB1	
EPI_ISL_20337074	A/Madagascar/04361/2025	A / H3N2	Human	Madagascar		2025-12-09	7	7	PB2	PB2	
EPI_ISL_20337071	A/Madagascar/04345/2025	A / H3N2	Human	Madagascar		2025-12-12	7	7	PA	PA	
EPI_ISL_19386939	A/Moramanga/01994/2024	A / H1N1	Human	Madagascar		2024-06-24	7	7	PB2	PB2	
EPI_ISL_19386938	A/Antsirabe/02032/2024	A / H1N1	Human	Madagascar		2024-07-02	7	7	PA	PA	
EPI_ISL_19386910	A/Toamasina/02156/2024	A / H1N1	Human	Madagascar		2024-07-11	7	7	PA	PA	
EPI_ISL_20240067	A/Madagascar/03706/2025	A / H3N2	Human	Madagascar	Analamanga	2025-10-27	7	7	NS	NS	
EPI_ISL_20240066	A/Madagascar/03676/2025	A / H3N2	Human	Madagascar	Sofia	2025-10-20	7	7	PA	PA	
EPI_ISL_20240065	A/Madagascar/03670/2025	A / H3N2	Human	Madagascar	Analamanga	2025-10-23	7	7	PA	PA	
EPI_ISL_20240064	A/Madagascar/03665/2025	A / H3N2	Human	Madagascar	Analamanga	2025-10-22	7	7	NS	NS	
EPI_ISL_20240062	A/Madagascar/03632/2025	A / H3N2	Human	Madagascar	Analamanga	2025-10-19	7	7	PB1	PB1	
EPI_ISL_20240060	A/Madagascar/03595/2025	A / H3N2	Human	Madagascar	Analamanga	2025-10-20	7	7	PB1	PB1	
EPI_ISL_20240053	A/Madagascar/03191/2025	A / H1N1	Human	Madagascar	Analamanga	2025-09-03	7	7	PB1	PB1	
EPI_ISL_20142014	A/Madagascar/02756/2025	A / H1N1	Human	Madagascar	Analamanga	2025-07-21	7	7	PB1	PB1	
EPI_ISL_20142012	A/Madagascar/02725/2025	A / H3N2	Human	Madagascar	Diana	2025-07-07	7	7	PB1	PB1	
EPI_ISL_19355304	A/Madagascar/51/2024	A / H3N2	Human	Madagascar		2024-01-03	7	7	PB1	PB1	
EPI_ISL_18962740	A/Antsirabe/02539/2023	A / H3N2	Human	Madagascar		2023-10-03	7	7	PB1	PB1	
EPI_ISL_18962739	A/Antsirabe/02542/2023	A / H3N2	Human	Madagascar		2023-10-06	7	7	PB1	PB1	
EPI_ISL_18962602	A/Manandona/02584/2023	A / H3N2	Human	Madagascar		2023-10-11	7	7	PB1	PB1	
EPI_ISL_18962601	A/Antananarivo/02641/2023	A / H3N2	Human	Madagascar		2023-10-19	7	7	PB1	PB1	
EPI_ISL_18962600	A/Antananarivo/02654/2023	A / H3N2	Human	Madagascar		2023-10-23	7	7	PB1	PB1	
EPI_ISL_18962598	A/Toamasina/03060/2023	A / H3N2	Human	Madagascar		2023-10-27	7	7	PB1	PB1	
EPI_ISL_18962596	A/Antananarivo/02702/2023	A / H3N2	Human	Madagascar		2023-10-31	7	7	PB1	PB1	
EPI_ISL_18962595	A/Antsirabe/02735/2023	A / H3N2	Human	Madagascar		2023-10-31	7	7	PB1	PB1	
EPI_ISL_18962594	A/Antananarivo/02748/2023	A / H3N2	Human	Madagascar		2023-11-06	7	7	PB1	PB1	
EPI_ISL_18962592	A/Toamasina/02808/2023	A / H3N2	Human	Madagascar		2023-11-07	7	7	PB1	PB1	
EPI_ISL_18962569	A/Sainte Marie/03340/2023	A / H3N2	Human	Madagascar		2023-11-19	7	7	PB1	PB1	
EPI_ISL_18962568	A/Antsohihy/02971/2023	A / H3N2	Human	Madagascar		2023-11-20	7	7	PB1	PB1	
EPI_ISL_18962566	A/Antsohihy/02969/2023	A / H3N2	Human	Madagascar		2023-11-21	7	7	PB1	PB1	
EPI_ISL_18962562	A/Antananarivo/02981/2023	A / H3N2	Human	Madagascar		2023-11-24	7	7	PB1	PB1	
EPI_ISL_18962561	A/Toamasina/03143/2023	A / H3N2	Human	Madagascar		2023-11-28	7	7	PB1	PB1	
EPI_ISL_18962559	A/Toamasina/03219/2023	A / H3N2	Human	Madagascar		2023-12-01	7	7	PB1	PB1	
EPI_ISL_18962556	A/Manandona/03215/2023	A / H3N2	Human	Madagascar		2023-12-06	7	7	PB1	PB1	
EPI_ISL_18962554	A/Toamasina/03297/2023	A / H3N2	Human	Madagascar		2023-12-14	7	7	PB1	PB1	
EPI_ISL_18962552	A/Antananarivo/03371/2023	A / H3N2	Human	Madagascar		2023-12-20	7	7	PB1	PB1	
EPI_ISL_19192367	A/Antsirabe/02735/2023	A / H3N2	Human	Madagascar		2023-10-31	7	7	PB1	PB1	
EPI_ISL_19192363	A/Antananarivo/02860/2023	A / H3N2	Human	Madagascar		2023-11-14	7	7	PB1	PB1	
EPI_ISL_19192361	A/Antananarivo/02702/2023	A / H3N2	Human	Madagascar		2023-10-31	7	7	PB1	PB1	
EPI_ISL_18962591	A/Toamasina/02992/2023	A / H3N2	Human	Madagascar		2023-11-10	7	7	PB2	PB2	
EPI_ISL_18962588	A/Antananarivo/02915/2023	A / H3N2	Human	Madagascar		2023-11-14	7	7	PB1	PB1	
EPI_ISL_18962587	A/Antananarivo/84305/2023	A / H3N2	Human	Madagascar		2023-11-15	7	7	PB1	PB1	
EPI_ISL_16834458	A/Antsirabe/07711/2022	A / H1N1	Human	Madagascar		2022-12-28	7	7	PA	PA	
EPI_ISL_16834457	A/Antananarivo/50494/2022	A / H1N1	Human	Madagascar		2022-12-05	7	7	PA	PA	
EPI_ISL_16834456	A/Antananarivo/07696/2022	A / H1N1	Human	Madagascar		2022-12-29	7	7	PA	PA	
EPI_ISL_16834440	A/Antananarivo/07209/2022	A / H1N1	Human	Madagascar		2022-11-24	7	7	PB1	PB1	
EPI_ISL_16834437	A/Antananarivo/06712/2022	A / H1N1	Human	Madagascar		2022-10-26	7	7	PB2	PB2	
EPI_ISL_20144931	A/Madagascar/02287/2025	A / H1N1	Human	Madagascar		2025-06-12	7	7	PA	PA	
EPI_ISL_20144927	A/Madagascar/02054/2025	A / H1N1	Human	Madagascar		2025-05-19	7	7	PA	PA	
EPI_ISL_20144898	A/Madagascar/02284/2025	A / H3N2	Human	Madagascar		2025-06-04	7	7	PB1	PB1	
EPI_ISL_20144897	A/Madagascar/02064/2025	A / H3N2	Human	Madagascar		2025-05-27	7	7	PB1	PB1	
EPI_ISL_16834692	A/Toamasina/07622/2022	A / H1N1	Human	Madagascar		2022-12-17	7	7	PB1	PB1	
EPI_ISL_16834685	A/Toamasina/07320/2022	A / H1N1	Human	Madagascar		2022-11-29	7	7	PA	PA	
EPI_ISL_16834675	A/Toamasina/06912/2022	A / H1N1	Human	Madagascar		2022-11-07	7	7	PB1	PB1	
EPI_ISL_16834572	A/Morondava/07289/2022	A / H1N1	Human	Madagascar		2022-11-28	7	7	PA	PA	
EPI_ISL_16834562	A/Mahajanga/07641/2022	A / H1N1	Human	Madagascar		2022-12-21	7	7	PB1	PB1	
EPI_ISL_16834561	A/Mahajanga/07423/2022	A / H1N1	Human	Madagascar		2022-12-06	7	7	PA	PA	
EPI_ISL_16834559	A/Mahajanga/07360/2022	A / H1N1	Human	Madagascar		2022-12-02	7	7	PB1	PB1	
EPI_ISL_16834513	A/Fianarantsoa/07686/2022	A / H1N1	Human	Madagascar		2022-12-27	7	7	PA	PA	
EPI_ISL_20178780	A/Madagascar/07126/2025	A / H3N2	Human	Madagascar		2025-05-02	7	7	PB1	PB1	
EPI_ISL_20178565	A/Madagascar/01987/2025	A / H3N2	Human	Madagascar		2025-05-16	7	7	PB1	PB1	
EPI_ISL_20178558	A/Madagascar/02374/2025	A / H3N2	Human	Madagascar		2025-06-17	7	7	PB1	PB1	
EPI_ISL_20144895	A/Madagascar/02004/2025	A / H3N2	Human	Madagascar		2025-05-19	7	7	PB1	PB1	
EPI_ISL_20144891	A/Madagascar/01846/2025	A / H3N2	Human	Madagascar		2025-05-14	7	7	PB1	PB1	
EPI_ISL_20144857	A/Madagascar/02374/2025	A / H3N2	Human	Madagascar		2025-06-17	7	7	PB1	PB1	
EPI_ISL_19687189	A/Madagascar/03788/2024	A / H3N2	Human	Madagascar		2024-12-04	7	7	PB1	PB1	
EPI_ISL_19687060	A/Madagascar/03502/2024	A / H1N1	Human	Madagascar		2024-11-12	7	7	PB2	PB2	
EPI_ISL_19687056	A/Madagascar/03041/2024	A / H1N1	Human	Madagascar		2024-10-07	7	7	PB2	PB2	
EPI_ISL_19687042	A/Madagascar/03118/2024	A / H1N1	Human	Madagascar		2024-10-16	7	7	PB2	PB2	
EPI_ISL_16836306	A/Madagascar/3556/2022	A / H3N2	Human	Madagascar		2022-04-07	7	7	NP	NP	
EPI_ISL_15364234	A/Nosy Be/03427/2022	A / H3N2	Human	Madagascar		2022-03-28	7	7	PB1	PB1	
EPI_ISL_15364187	A/Antsirabe/03799/2022	A / H3N2	Human	Madagascar		2022-04-26	7	7	PB1	PB1	
EPI_ISL_15364186	A/Antsirabe/03366/2022	A / H3N2	Human	Madagascar		2022-03-31	7	7	PB1	PB1	
EPI_ISL_12710465	A/Madagascar/4813/2021	A / H3N2	Human	Madagascar		2021-12-28	7	7	PA	PA	
EPI_ISL_20150148	A/Madagascar/2029/2025	A / H1N1	Human	Madagascar		2025-05-16	7	7	PB2	PB2	
EPI_ISL_19854894	A/Madagascar/01189/2025	A / H3N2	Human	Madagascar	Analamanga	2025-04-08	7	7	NS	NS	
EPI_ISL_19854892	A/Madagascar/01076/2025	A / H3N2	Human	Madagascar	Analamanga	2025-04-01	7	7	NS	NS	
EPI_ISL_19854889	A/Madagascar/00890/2025	A / H3N2	Human	Madagascar	Analamanga	2025-03-21	7	7	NS	NS	
EPI_ISL_19854887	A/Madagascar/00697/2025	A / H3N2	Human	Madagascar	Analamanga	2025-03-08	7	7	NS	NS	
EPI_ISL_19854883	A/Madagascar/01380/2025	A / H1N1	Human	Madagascar	Haute Matsiatra	2025-04-15	7	7	PB1	PB1	
EPI_ISL_19854882	A/Madagascar/01242/2025	A / H1N1	Human	Madagascar	Analamanga	2025-04-10	7	7	PB1	PB1	
EPI_ISL_19854879	A/Madagascar/01079/2025	A / H1N1	Human	Madagascar	Analamanga	2025-04-01	7	7	PB1	PB1	
EPI_ISL_12710462	A/Madagascar/4126/2021	A / H3N2	Human	Madagascar		2021-12-13	7	7	NS	NS	
EPI_ISL_9401976	A/Mahajanga/13264/2021	A / H3N2	Human	Madagascar		2021-12-10	7	7	PB1	PB1	
EPI_ISL_9401975	A/Nosy Be/13359/2021	A / H3N2	Human	Madagascar		2021-12-06	7	7	PB1	PB1	
EPI_ISL_9401973	A/Mahajanga/12604/2021	A / H3N2	Human	Madagascar		2021-11-25	7	7	PB1	PB1	
EPI_ISL_20379686	A/Madagascar/00667/2026	A / H3N2	Human	Madagascar		2026-02-05	7	7	PB1	PB1	
EPI_ISL_20379684	A/Madagascar/00442/2026	A / H3N2	Human	Madagascar		2026-01-25	7	7	PB1	PB1	
EPI_ISL_20316017	A/Madagascar/04450/2025	A / H3N2	Human	Madagascar		2025-12-23	7	7	PA	PA	
EPI_ISL_20316016	A/Madagascar/04431/2025	A / H3N2	Human	Madagascar		2025-12-20	7	7	PA	PA	
EPI_ISL_20316014	A/Madagascar/04403/2025	A / H3N2	Human	Madagascar		2025-12-16	7	7	PA	PA	
EPI_ISL_20316013	A/Madagascar/04386/2025	A / H3	Human	Madagascar		2025-12-17	7	7	NA	NA	
EPI_ISL_20316012	A/Madagascar/04368/2025	A / H3N2	Human	Madagascar		2025-12-17	7	7	PA	PA	
EPI_ISL_20316009	A/Madagascar/04312/2025	A / H3N2	Human	Madagascar		2025-12-16	7	7	PA	PA	
EPI_ISL_20316008	A/Madagascar/04306/2025	A / H3N2	Human	Madagascar		2025-12-10	7	7	PA	PA	
EPI_ISL_20316007	A/Madagascar/04293/2025	A / H3N2	Human	Madagascar		2025-12-15	7	7	PA	PA	
EPI_ISL_20316003	A/Madagascar/04237/2025	A / H3N2	Human	Madagascar		2025-12-05	7	7	NS	NS	
EPI_ISL_20316001	A/Madagascar/04179/2025	A / H3	Human	Madagascar		2025-12-02	7	7	NA	NA	
EPI_ISL_20282210	A/Madagascar/04091/2025	A / H3N2	Human	Madagascar	Boeny	2025-11-27	7	7	PB1	PB1	
EPI_ISL_20282207	A/Madagascar/04073/2025	A / H3N2	Human	Madagascar	Atsinanana	2025-11-24	7	7	PB2	PB2	
EPI_ISL_20282205	A/Madagascar/04049/2025	A / H3N2	Human	Madagascar	Atsinanana	2025-10-30	7	7	PB2	PB2	
EPI_ISL_20282201	A/Madagascar/04035/2025	A / H3N2	Human	Madagascar	Alaotra-Mangoro	2025-11-24	7	7	PB1	PB1	
EPI_ISL_20282198	A/Madagascar/04003/2025	A / H3N2	Human	Madagascar	Analamanga	2025-11-24	7	7	PB1	PB1	
EPI_ISL_9140491	A/Toamasina/13669/2021	A / H3N2	Human	Madagascar		2021-12-15	7	7	PB1	PB1	
EPI_ISL_19530568	A/duck/Madagascar/77513/2024	A / H6N1	Duck	Madagascar	Haute-matsiatra	2024-08-05	7	7	PB1	PB1	
EPI_ISL_19530565	A/duck/Madagascar/79230/2024	A / H6N1	Duck	Madagascar	Vakinankaratra	2024-09-25	7	7	PB1	PB1	
EPI_ISL_19530561	A/duck/Madagascar/79213/2024	A / H6N1	Duck	Madagascar	Vakinankaratra	2024-09-25	7	7	PB1	PB1	
EPI_ISL_19530560	A/duck/Madagascar/79212/2024	A / H6N1	Duck	Madagascar	Vakinankaratra	2024-09-25	7	7	PB2	PB2	
EPI_ISL_19530552	A/duck/Madagascar/77224/2024	A / H4N6	Duck	Madagascar	Analamanga	2024-07-30	7	7	PB2	PB2	
EPI_ISL_19530547	A/duck/Madagascar/76365/2024	A / H4N6	Duck	Madagascar	Analamanga	2024-07-10	7	7	PB1	PB1	
EPI_ISL_19530544	A/duck/Madagascar/75384/2024	A / H11N2	Duck	Madagascar	Menabe	2024-06-04	7	7	MP	MP	
EPI_ISL_19530543	A/duck/Madagascar/75373/2024	A / H6N1	Duck	Madagascar	Menabe	2024-06-04	7	7	PB1	PB1	
EPI_ISL_19530541	A/duck/Madagascar/75076/2024	A / H6N1	Duck	Madagascar	Boeny	2024-05-27	7	7	PB1	PB1	
EPI_ISL_19638429	A/chicken/Madagascar/80774/2024	A / H6N2	Chicken	Madagascar	Analamanga	2024-10-29	7	7	PB1	PB1	
EPI_ISL_19638437	A/duck/Madagascar/81494/2024	A / H6N2	Duck	Madagascar	Vakinankaratra	2024-11-20	7	7	PA	PA	
EPI_ISL_20090039	A/goose/Madagascar/73073/2025	A / H6N1	Goose	Madagascar	Alaotra Mangoro	2025-05-13	7	7	PB1	PB1	
EPI_ISL_20360500	A/duck/Madagascar/78497/2025	A / H5N1	Avian	Madagascar		2025-12-30	7	7	PB2	PB2	
EPI_ISL_20360493	A/duck/Madagascar/78047/2025	A / H4N6	Avian	Madagascar		2025-12-09	7	7	PA	PA	
EPI_ISL_20360491	A/duck/Madagascar/78020/2025	A / H9N2	Avian	Madagascar		2025-12-08	7	7	PB2	PB2	
EPI_ISL_20360488	A/duck/Madagascar/77436/2025	A / H6N1	Avian	Madagascar		2025-11-19	7	7	PB1	PB1	
EPI_ISL_20360487	A/duck/Madagascar/76882/2025	A / H6N1	Avian	Madagascar		2025-10-29	7	7	PB1	PB1	
EPI_ISL_20090043	A/duck/Madagascar/73470/2025	A / H6N2	Duck	Madagascar	Vakinankaratra	2025-05-28	7	7	PB1	PB1	
EPI_ISL_20090034	A/duck/Madagascar/72065/2025	A / H6N2	Duck	Madagascar	Vakinankaratra	2025-03-26	7	7	PB1	PB1	
EPI_ISL_20231990	A/duck/Madagascar/76004/2025	A / H9N2	Duck	Madagascar	Vakinankaratra	2025-09-17	7	7	MP	MP	
EPI_ISL_20231989	A/duck/Madagascar/75334/2025	A / H9N2	Duck	Madagascar	Vakinankaratra	2025-08-18	7	7	MP	MP	
EPI_ISL_19813419	A/duck/Madagascar/71557/2025	A / H9N2	Duck	Madagascar	Alaotra-mangoro	2025-03-04	7	7	PB1	PB1	
EPI_ISL_19813413	A/duck/Madagascar/71310/2025	A / H6N1	Duck	Madagascar	Vakinankaratra	2025-02-19	7	7	PB1	PB1	
EPI_ISL_19813412	A/duck/Madagascar/71297/2025	A / H4N6	Duck	Madagascar	Vakinankaratra	2025-02-19	7	7	PB1	PB1	
EPI_ISL_19907462	B/Madagascar/01727/2025	B	Human	Madagascar	Boeny	2025-05-02	7	7	PB2	PB2	
EPI_ISL_19907459	B/Madagascar/01509/2025	B	Human	Madagascar	Bongolava	2025-04-24	7	7	MP	MP	
EPI_ISL_19907456	B/Madagascar/01292/2025	B	Human	Madagascar	Analamanga	2025-04-15	7	7	PB2	PB2	
EPI_ISL_19726531	B/Madagascar/3421/2024	B	Human	Madagascar		2024-11-11	7	7	PA	PA	
EPI_ISL_19726507	B/Madagascar/3461/2024	B	Human	Madagascar		2024-11-06	7	7	PA	PA	
EPI_ISL_19726506	B/Madagascar/3131/2024	B	Human	Madagascar		2024-10-15	7	7	MP	MP	
EPI_ISL_19726505	B/Madagascar/2898/2024	B	Human	Madagascar		2024-09-18	7	7	PB1	PB1	
EPI_ISL_1180164	B/Madagascar/322/2020	B	Human	Madagascar		2020-01-16	7	7	MP	MP	
EPI_ISL_246585	B/Madagascar/0245/2011	B	Human	Madagascar		2011-01-28	7	7	PB1	PB1	
EPI_ISL_20178578	B/Madagascar/01693/2025	B	Human	Madagascar		2025-05-02	7	7	PB1	PB1	
EPI_ISL_20178571	B/Madagascar/02457/2025	B	Human	Madagascar		2025-06-20	7	7	PB2	PB2	
EPI_ISL_19817100	B/Madagascar/03031/2024	B	Human	Madagascar		2024-10-09	7	7	PB1	PB1	
EPI_ISL_19817099	B/Madagascar/03035/2024	B	Human	Madagascar		2024-10-09	7	7	PB2	PB2	
EPI_ISL_19817096	B/Madagascar/03160/2024	B	Human	Madagascar		2024-10-16	7	7	PB1	PB1	
EPI_ISL_19687195	B/Madagascar/03535/2024	B	Human	Madagascar		2024-11-11	7	7	PB1	PB1	
EPI_ISL_19687162	B/Madagascar/02841/2024	B	Human	Madagascar		2024-09-17	7	7	MP	MP	
EPI_ISL_19687156	B/Madagascar/03297/2024	B	Human	Madagascar		2024-10-29	7	7	PB1	PB1	
EPI_ISL_19687146	B/Madagascar/03351/2024	B	Human	Madagascar		2024-11-07	7	7	PB1	PB1	
EPI_ISL_19687140	B/Madagascar/03669/2024	B	Human	Madagascar		2024-11-25	7	7	MP	MP	
EPI_ISL_296533	B/Madagascar/3833/2017	B	Human	Madagascar		2017-09-04	7	7	PB1	PB1	
EPI_ISL_19704284	B/Madagascar/03899/2024	B	Human	Madagascar	Diana	2024-12-09	7	7	PA	PA	
EPI_ISL_19704283	B/Madagascar/03801/2024	B	Human	Madagascar	Diana	2024-12-04	7	7	PB2	PB2	
EPI_ISL_19704282	B/Madagascar/03797/2024	B	Human	Madagascar	Diana	2024-12-05	7	7	PB2	PB2	
EPI_ISL_19704281	B/Madagascar/00148/2025	B	Human	Madagascar	Sofia	2025-01-14	7	7	PB2	PB2	
EPI_ISL_19704280	B/Madagascar/00140/2025	B	Human	Madagascar	Boeny	2025-01-17	7	7	PB2	PB2	
EPI_ISL_19704274	B/Madagascar/00096/2025	B	Human	Madagascar	Atsimo-Andrefana	2025-01-13	7	7	PB2	PB2	
EPI_ISL_19704273	B/Madagascar/00094/2025	B	Human	Madagascar	Atsimo-Andrefana	2025-01-13	7	7	PB2	PB2	
EPI_ISL_19704272	B/Madagascar/00090/2025	B	Human	Madagascar	Bongolava	2025-01-10	7	7	PB2	PB2	
EPI_ISL_19704271	B/Madagascar/00082/2025	B	Human	Madagascar	Boeny	2025-01-10	7	7	PB2	PB2	
EPI_ISL_19687107	B/Madagascar/03603/2024	B	Human	Madagascar		2024-11-20	7	7	PB1	PB1	
EPI_ISL_19204578	B/Antananarivo/02570/2023	B	Human	Madagascar		2023-10-10	7	7	PB1	PB1	
EPI_ISL_19204565	B/Antananarivo/03264/2023	B	Human	Madagascar		2023-12-11	7	7	PB1	PB1	
EPI_ISL_18271056	B/Antananarivo/01799/2023	B	Human	Madagascar		2023-06-14	7	7	PB1	PB1	
EPI_ISL_12241665	B/Toliary/12566/2021	B	Human	Madagascar		2021-11-16	7	7	MP	MP	
EPI_ISL_12241664	B/Toliary/12167/2021	B	Human	Madagascar		2021-11-02	7	7	PB2	PB2	
EPI_ISL_12241643	B/Antananarivo/12258/2021	B	Human	Madagascar		2021-11-10	7	7	PB1	PB1	
EPI_ISL_20255001	B/Madagascar/03190/2025	B	Human	Madagascar	Analamanga	2025-09-01	7	7	PB1	PB1	
